Formula,m/z
Cu1O3N5C6H6,258.97695
Cu1O3N4C7H8,258.98776
Cu1O3N4C7H8,258.99032
Cu1O3N3C8H10,259.00293
Cu1O2N5C7H10,259.01324
Cu1O3N2C10H1,259.92767
Cu1O1N5C9H3,259.96289
Cu1O3N4C7H9,259.99716
Cu1O1N5C9H4,260.96878
Cu1O1N4C10H6,260.98067
Cu1O1N4C10H6,260.98273
Cu1O1N4C10H6,260.98387
Cu1O3N5C6H8,260.98996
Cu1O3N5C6H8,260.99235
Cu1O3N4C7H10,261.00549
Cu1O2N5C8H1,261.94028
Cu1O2N4C9H3,261.95465
Cu1O2N3C10H5,261.96985
Cu1O1N5C9H5,261.97672
Cu1O1N4C10H7,261.99118
Cu1O2N5C8H2,262.95041
Cu1O3N2C10H4,262.95041
Cu1O1N5C9H6,262.98462
Cu1O1N5C9H6,262.98621
Cu1O1N5C9H6,262.98737
Cu1O1N4C10H8,262.99847
Cu1O3N5C6H10,263.00821
Cu1O3N4C8H1,263.93198
Cu1O2N3C10H7,263.98233
Cu1O3N3C9H4,264.95398
Cu1O2N5C8H4,264.9641
Cu1O2N3C10H8,264.98884
Cu1O1N5C9H8,265.00038
Cu1O1N5C9H8,265.00271
Cu1O1N5C9H8,265.00363
Cu1O1N4C10H10,265.01266
Cu1O3N3C9H5,265.96332
Cu1O2N4C9H7,265.98584
Cu1O2N3C10H9,265.99701
Cu1O2N3C10H9,265.99801
Cu1O1N5C9H9,266.00845
Cu1O2N5C8H6,266.97967
Cu1O2N5C8H6,266.98197
Cu1O3N2C10H8,266.98197
Cu1O3N2C10H8,266.98438
Cu1O2N4C9H8,266.99319
Cu1O1N5C9H10,267.01498
Cu1O1N5C9H10,267.01634
Cu1O1N5C9H10,267.0184
Cu1O2N4C9H9,268.00323
Cu1O1N5C10,268.93692
Cu1O1N5C10,268.93939
Cu1O1N5C10,268.94183
Cu1O3N5C7H4,268.96252
Cu1O2N5C8H8,268.99768
Cu1O3N2C10H10,268.99768
Cu1O2N4C9H10,269.00769
Cu1O2N4C9H10,269.00886
